Oznaka;Vrijeme prijema;Pošiljatelj;Primatelj;Vrsta paketa;Visina;Širina;Dužina;Težina;Usluga dostave;Iznos pouzeća
CROVŽ0001;20.10.2023. 07:05:20;Pero Kos;Mato Medved;A;0,0;0,0;0,0;0,10;S;0,00
CROVŽ0002;20.10.2023. 07:22:41;Pero Pjetlić;Mato Miš;A;0,0;0,0;0,0;0,20;H;0,00
CROVŽ0003;20.10.2023. 08:34:17;Pero Paun;Silva Sova;B;0,0;0,0;0,0;0,25;H;0,00
CROVŽ0004;20.10.2023. 08:51:40;Petra Paun;Sonja Sova;C;0,0;0,0;0,0;0,25;P;10,00
CROVŽ0005;20.10.2023. 08:54:24;Filip Orao;Kiki Kovač;C;0,0;0,0;0,0;0,21;S;0,00
CROVŽ0006;20.10.2023. 09:04:28;Vuk d.o.o;Miki Mrav;X;0,8;0,4;0,4;12,5;S;0,00 
CROVŽ0007;20.10.2023. 09:06:28;Vuk d.o.o;Miki Mrav;X;1,2;0,8;0,8;56,8;S;0,00 
CROVŽ0008;20.10.2023. 09:08:28;Vuk d.o.o;Miki Mrav;X;1,2;1,2;1,2;102,3;S;0,00 
CROVŽ0009;20.10.2023. 09:10:28;Vuk d.o.o;Miki Mrav;X;0,4;0,4;2,1;32,8;S;0,00 
CROVŽ0010;20.10.2023. 09:12:28;Vuk d.o.o;Miki Mrav;E;0,0;0,0;0,0;9,0;S;0,00 
CROVŽ0011;20.10.2023. 09:16:21;Lisica d.o.o;Luka Lisica;C;0,0;0,0;0,0;0,8;S;0,00
CROVŽ0012;20.10.2023. 09:17:21;Lisica d.o.o;Mato Miš;C;0,0;0,0;0,0;0,8;S;0,00
CROVŽ0013;20.10.2023. 09:18:21;Lisica d.o.o;Mato Medved;C;0,0;0,0;0,0;0,8;S;0,00
CROVŽ0014;20.10.2023. 09:19:21;Lisica d.o.o;Silva Sova;C;0,0;0,0;0,0;0,8;S;0,00
CROVŽ0015;20.10.2023. 09:20:21;Lisica d.o.o;Miki Mrav;C;0,0;0,0;0,0;0,8;S;0,00
CROVŽ0016;20.10.2023. 09:21:21;Lisica d.o.o;Kiki Kovač;C;0,0;0,0;0,0;0,8;S;0,00
CROVŽ0017;20.10.2023. 09:38:07;Goga Golub;Jasna Zver;A;0,0;0,0;0,0;0,20;H;0,00
CROVŽ0018;20.10.2023. 09:52:07;Kiki Kovač;Vrana d.o.o;B;0,0;0,0;0,0;0,20;S;0,00
CROVŽ0019;20.10.2023. 10:05:12;Kiki Kovač;Lisica d.o.o;A;0,0;0,0;0,0;0,20;S;0,00
CROVŽ0020;20.10.2023. 10:11:47;Vrana d.o.o;Pero Kos;E;0,0;0,0;0,0;5,3;P;24,99
CROVŽ0021;20.10.2023. 10:13:47;Vrana d.o.o;Pero Paun;E;0,0;0,0;0,0;5,3;P;24,99
CROVŽ0022;20.10.2023. 10:15:47;Vrana d.o.o;Filip Orao;E;0,0;0,0;0,0;5,3;P;24,99
CROVŽ0023;20.10.2023. 10:17:47;Vrana d.o.o;Teo Vuk;E;0,0;0,0;0,0;5,3;P;24,99
CROVŽ0024;20.10.2023. 10:19:47;Vrana d.o.o;Lisica d.o.o;E;0,0;0,0;0,0;5,3;P;24,99
CROVŽ0025;20.10.2023. 10:21:47;Vrana d.o.o;Mato Medved;E;0,0;0,0;0,0;5,3;P;24,99
CROVŽ0026;20.10.2023. 10:23:47;Vrana d.o.o;Sonja Sova;E;0,0;0,0;0,0;5,3;P;24,99
CROVŽ0027;20.10.2023. 10:32:33;Vrana d.o.o;Kiki Kovač;D;0,0;0,0;0,0;2,6;S;0,0
CROVŽ0028;20.10.2023. 10:34:33;Vrana d.o.o;Miki Mrav;D;0,0;0,0;0,0;2,6;H;0,0
CROVŽ0029;20.10.2023. 10:36:33;Vrana d.o.o;Štef Šaran;D;0,0;0,0;0,0;2,6;S;0,0
CROVŽ0030;20.10.2023. 10:38:28;Vuk d.o.o;Goga Golub;X;1,2;1,2;1,2;102,3;S;0,00
CROVŽ0031;20.10.2023. 10:48:21;Lisica d.o.o;Petra Puž;C;0,0;0,0;0,0;0,8;S;0,00
CROVŽ0032;20.10.2023. 09:52:07;Kiki Kovač;Alica Anemona;B;0,0;0,0;0,0;0,20;H;0,00
CROVŽ0033;20.10.2023. 10:59:47;Vrana d.o.o;Jasna Zver;E;0,0;0,0;0,0;5,3;P;24,99
CROVŽ0034;20.10.2023. 11:02:07;Som d.o.o;Goga Golub;D;0,0;0,0;0,0;2,6;P;37,99
CROVŽ0035;20.10.2023. 11:05:07;Som d.o.o;Jasna Zver;D;0,0;0,0;0,0;2,6;P;37,99
CROVŽ0036;20.10.2023. 11:08:07;Som d.o.o;Alica Anemona;D;0,0;0,0;0,0;2,6;P;37,99
CROVŽ0037;20.10.2023. 11:11:07;Som d.o.o;Ines Ikra;D;0,0;0,0;0,0;2,6;P;37,99
CROVŽ0038;20.10.2023. 11:14:07;Som d.o.o;Petra Puž;D;0,0;0,0;0,0;2,6;P;37,99
CROVŽ0039;20.10.2023. 11:28:52;Kiki Kovač;Štef Šaran;B;0,0;0,0;0,0;0,20;S;0,00
CROVŽ0040;20.10.2023. 11:46:39;Kiki Kovač;Filip Orao;B;0,0;0,0;0,0;0,20;H;0,00
